[22:21:07] R= 799 , G= 799 , B= 799 , ORP= 559 , HCL= 6.12 , SG=1.202 , Temp=46.0
[22:21:09] R= 799 , G= 799 , B= 799 , ORP= 558 , HCL= 6.06 , SG=1.201 , Temp=46.1
[22:21:11] R= 799 , G= 799 , B= 799 , ORP= 558 , HCL= 6.06 , SG=1.201 , Temp=46.1
[22:21:13] R= 799 , G= 799 , B= 799 , ORP= 557 , HCL= 6.00 , SG=1.201 , Temp=46.1
[22:21:15] R= 799 , G= 799 , B= 799 , ORP= 557 , HCL= 6.00 , SG=1.201 , Temp=46.1
[22:21:17] R= 799 , G= 799 , B= 799 , ORP= 557 , HCL= 6.00 , SG=1.201 , Temp=46.1
[22:21:19] R= 799 , G= 799 , B= 799 , ORP= 556 , HCL= 5.93 , SG=1.201 , Temp=46.2
[22:21:21] R= 799 , G= 799 , B= 799 , ORP= 556 , HCL= 5.93 , SG=1.201 , Temp=46.2
[22:21:23] R= 799 , G= 799 , B= 799 , ORP= 555 , HCL= 5.88 , SG=1.200 , Temp=46.2
[22:21:25] R= 799 , G= 799 , B= 799 , ORP= 555 , HCL= 5.88 , SG=1.200 , Temp=46.2
[22:21:27] R= 799 , G= 799 , B= 799 , ORP= 555 , HCL= 5.88 , SG=1.200 , Temp=46.2
[22:21:29] R= 799 , G= 799 , B= 799 , ORP= 554 , HCL= 5.82 , SG=1.200 , Temp=46.3
[22:21:31] R= 799 , G= 799 , B= 799 , ORP= 554 , HCL= 5.82 , SG=1.200 , Temp=46.3
